DateKey,FullDate,DayNum,MonthNum,MonthName,YearNum,QuarterNum,DayOfWeekNum,DayName
20210405,4/5/2021,5,4,April,2021,2,2,Monday
20210406,4/6/2021,6,4,April,2021,2,3,Tuesday
20210407,4/7/2021,7,4,April,2021,2,4,Wednesday
20210408,4/8/2021,8,4,April,2021,2,5,Thursday
20210409,4/9/2021,9,4,April,2021,2,6,Friday
20210410,4/10/2021,10,4,April,2021,2,7,Saturday
20210411,4/11/2021,11,4,April,2021,2,1,Sunday
20210412,4/12/2021,12,4,April,2021,2,2,Monday
20210413,4/13/2021,13,4,April,2021,2,3,Tuesday
20210414,4/14/2021,14,4,April,2021,2,4,Wednesday
20210415,4/15/2021,15,4,April,2021,2,5,Thursday
20210416,4/16/2021,16,4,April,2021,2,6,Friday
20210417,4/17/2021,17,4,April,2021,2,7,Saturday
20210418,4/18/2021,18,4,April,2021,2,1,Sunday
20210419,4/19/2021,19,4,April,2021,2,2,Monday
20210420,4/20/2021,20,4,April,2021,2,3,Tuesday
20210421,4/21/2021,21,4,April,2021,2,4,Wednesday
20210422,4/22/2021,22,4,April,2021,2,5,Thursday
20210423,4/23/2021,23,4,April,2021,2,6,Friday
20210424,4/24/2021,24,4,April,2021,2,7,Saturday
20210425,4/25/2021,25,4,April,2021,2,1,Sunday
20210426,4/26/2021,26,4,April,2021,2,2,Monday
20210427,4/27/2021,27,4,April,2021,2,3,Tuesday
20210428,4/28/2021,28,4,April,2021,2,4,Wednesday
20210429,4/29/2021,29,4,April,2021,2,5,Thursday
20210430,4/30/2021,30,4,April,2021,2,6,Friday
20210501,5/1/2021,1,5,May,2021,2,7,Saturday
20210502,5/2/2021,2,5,May,2021,2,1,Sunday
20210503,5/3/2021,3,5,May,2021,2,2,Monday
20210504,5/4/2021,4,5,May,2021,2,3,Tuesday
20210505,5/5/2021,5,5,May,2021,2,4,Wednesday
20210506,5/6/2021,6,5,May,2021,2,5,Thursday
20210507,5/7/2021,7,5,May,2021,2,6,Friday
20210508,5/8/2021,8,5,May,2021,2,7,Saturday
20210509,5/9/2021,9,5,May,2021,2,1,Sunday
20210510,5/10/2021,10,5,May,2021,2,2,Monday
20210511,5/11/2021,11,5,May,2021,2,3,Tuesday
20210512,5/12/2021,12,5,May,2021,2,4,Wednesday
20210513,5/13/2021,13,5,May,2021,2,5,Thursday
20210514,5/14/2021,14,5,May,2021,2,6,Friday
20210515,5/15/2021,15,5,May,2021,2,7,Saturday
20210516,5/16/2021,16,5,May,2021,2,1,Sunday
20210517,5/17/2021,17,5,May,2021,2,2,Monday
20210518,5/18/2021,18,5,May,2021,2,3,Tuesday
20210519,5/19/2021,19,5,May,2021,2,4,Wednesday
20210520,5/20/2021,20,5,May,2021,2,5,Thursday
20210521,5/21/2021,21,5,May,2021,2,6,Friday
